whereFound,filePath,line,rawSrc,resolvedPublicPath,exists,caseMismatch,probableMatch,notes
"code","ASSETS_ANALYSIS_REPORT.json",11,"/photos/image00002.jpeg","/Users/danyvassily/dev /chateauxlastversion/public/photos/image00002.jpeg",false,false,"","Fichier introuvable"
"code","ASSETS_ANALYSIS_REPORT.json",119,"/winemaking-team-portrait-in-vineyard.png","/Users/danyvassily/dev /chateauxlastversion/public/winemaking-team-portrait-in-vineyard.png",false,false,"","Fichier introuvable"
"code","ASSETS_ANALYSIS_REPORT.json",145,"/Page/Page organiser votre événement/chateau-lastours-panoramic-view.jpg","/Users/danyvassily/dev /chateauxlastversion/public/Page/Page organiser votre événement/chateau-lastours-panoramic-view.jpg",false,true,"/Users/danyvassily/dev /chateauxlastversion/public/asset/assets sauvegarde/page/Page organiser votre événement/chateau-lastours-panoramic-view.jpg","Différence de casse détectée"
"code","ASSETS_ANALYSIS_REPORT.json",146,"/Page/Page organiser votre événement/chateau-lastours-panoramic-view.jpg","/Users/danyvassily/dev /chateauxlastversion/public/Page/Page organiser votre événement/chateau-lastours-panoramic-view.jpg",false,true,"/Users/danyvassily/dev /chateauxlastversion/public/asset/assets sauvegarde/page/Page organiser votre événement/chateau-lastours-panoramic-view.jpg","Différence de casse détectée"
"code","ASSETS_ANALYSIS_REPORT.json",173,"Asset trouvé avec un chemin différent: /Page/Page organiser votre événement/chateau-lastours-panoramic-view.jpg","Asset trouvé avec un chemin différent: /Page/Page organiser votre événement/chateau-lastours-panoramic-view.jpg",false,true,"/Users/danyvassily/dev /chateauxlastversion/public/asset/assets sauvegarde/page/Page organiser votre événement/chateau-lastours-panoramic-view.jpg","Différence de casse détectée"
"code","ASSETS_ANALYSIS_REPORT.json",176,"/Page/Page organiser votre événement/accompagnement-personnalise.jpg","/Users/danyvassily/dev /chateauxlastversion/public/Page/Page organiser votre événement/accompagnement-personnalise.jpg",false,true,"/Users/danyvassily/dev /chateauxlastversion/public/asset/assets sauvegarde/page/Page organiser votre événement/accompagnement-personnalise.jpg","Différence de casse détectée"
"code","ASSETS_ANALYSIS_REPORT.json",177,"/Page/Page organiser votre événement/accompagnement-personnalise.jpg","/Users/danyvassily/dev /chateauxlastversion/public/Page/Page organiser votre événement/accompagnement-personnalise.jpg",false,true,"/Users/danyvassily/dev /chateauxlastversion/public/asset/assets sauvegarde/page/Page organiser votre événement/accompagnement-personnalise.jpg","Différence de casse détectée"
"code","ASSETS_ANALYSIS_REPORT.json",204,"Asset trouvé avec un chemin différent: /Page/Page organiser votre événement/accompagnement-personnalise.jpg","Asset trouvé avec un chemin différent: /Page/Page organiser votre événement/accompagnement-personnalise.jpg",false,true,"/Users/danyvassily/dev /chateauxlastversion/public/asset/assets sauvegarde/page/Page organiser votre événement/accompagnement-personnalise.jpg","Différence de casse détectée"
"code","ASSETS_ANALYSIS_REPORT.json",207,"/Page/Page organiser votre événement/apero-concerts-ete.jpg","/Users/danyvassily/dev /chateauxlastversion/public/Page/Page organiser votre événement/apero-concerts-ete.jpg",false,true,"/Users/danyvassily/dev /chateauxlastversion/public/asset/assets sauvegarde/page/Page organiser votre événement/apero-concerts-ete.jpg","Différence de casse détectée"
"code","ASSETS_ANALYSIS_REPORT.json",208,"/Page/Page organiser votre événement/apero-concerts-ete.jpg","/Users/danyvassily/dev /chateauxlastversion/public/Page/Page organiser votre événement/apero-concerts-ete.jpg",false,true,"/Users/danyvassily/dev /chateauxlastversion/public/asset/assets sauvegarde/page/Page organiser votre événement/apero-concerts-ete.jpg","Différence de casse détectée"
